,Trait,Sequence,Model,Log-likelihood,Corrected AIC,Pairwise Divergence Error,LOCO MSE,Z0,True Z0,Zeq
0,gc_content,segment_7916_8695_585_635,NeutralModel,93.97722999438622,-176.1897541064195,0.0019914342091230256,0.04183747638902745,0.3696097209599613,,0.37189634177208175
1,gc_content,segment_7916_8695_585_635,NeutralModel (Z0=Zeq),93.95972435449943,-181.2527820423322,0.0019747895854236616,0.03935828269861142,0.3698455898981073,,0.3698455898981073
2,gc_content,segment_7916_8695_585_635,NeutralModel (fixed u=1.34),93.928833647737,-178.71481015261685,0.0019886561491702873,0.04229487565610513,0.36958058524958354,,0.3715709427156264
3,gc_content,segment_7916_8695_585_635,"NeutralModel (Z0=Zeq, fixed u=1.34)",93.9036628217934,-183.48300131926248,0.001966883018619095,0.03930194132173466,0.36985297281164414,,0.36985297281164414
4,gc_content,segment_7916_8695_585_635,"NeutralModel (fixed u=1.34, Z_eq=0.44)",93.92883374847044,-181.19100083027422,0.0019886550963228683,0.04159749049579027,0.36957936067621733,,0.37157864607960644
5,gc_content,segment_7916_8695_585_635,"NeutralModel (fixed u=1.34, Z_eq=0.44, sigma_eq=0.2464/L)",,,,,,,
6,gc_content,segment_7916_8695_585_635,OU,94.11687341529756,-179.09088968773798,0.0020003599508461433,0.03952462816192841,0.3698345665014771,,0.3704240659503638
7,gc_content,segment_7916_8695_585_635,OU (Z0=Zeq),94.11687341527247,-181.56708016387827,0.0020003615606869,0.03952171768043365,0.3698345185658516,,0.3698345185658516
8,gc_content,segment_7916_8695_585_635,BM,94.1147302084929,-183.90513609266148,0.0020002462507903718,0.039522789306257265,0.3698268858681449,,0.3698268858681449
9,longest_ORF,segment_7916_8695_585_635,NeutralModel,210.7086263349011,-409.6525467874493,9.789639859273128e-06,0.00011842300979434866,0.334960926501654,,0.18307129690661925
10,longest_ORF,segment_7916_8695_585_635,NeutralModel (Z0=Zeq),207.7808663135142,-408.8950659603617,1.0674697402981506e-05,0.00011309044981381913,0.3197749288532559,,0.3197749288532559
11,longest_ORF,segment_7916_8695_585_635,NeutralModel (fixed u=1.34),208.85143334728525,-408.56000955171334,9.387063616338998e-06,0.00011969093874138306,0.3200907269928759,,0.3180209247548056
12,longest_ORF,segment_7916_8695_585_635,"NeutralModel (Z0=Zeq, fixed u=1.34)",207.82239875566825,-411.32047318701217,1.0599707026198497e-05,0.0001129521982470636,0.3197722713081997,,0.3197722713081997
13,longest_ORF,segment_7916_8695_585_635,OU,207.6554200257368,-406.1679829086164,1.0888801411796393e-05,0.00011167629298681487,0.3197845365806154,,0.31978453633147824
