,ailuropoda_melanoleuca,aotus_nancymaae,canis_familiaris,carlito_syrichta,cavia_porcellus,cebus_capucinus,cercocebus_atys,chinchilla_lanigera,chlorocebus_sabaeus,colobus_angolensis_palliatus,dipodomys_ordii,equus_caballus,felis_catus,fukomys_damarensis,gorilla_gorilla,heterocephalus_glaber_male,homo_sapiens,ictidomys_tridecemlineatus,jaculus_jaculus,loxodonta_africana,macaca_fascicularis,macaca_mulatta,macaca_nemestrina,mandrillus_leucophaeus,mustela_putorius_furo,myotis_lucifugus,nomascus_leucogenys,octodon_degus,otolemur_garnettii,pan_paniscus,pan_troglodytes,panthera_pardus,panthera_tigris_altaica,propithecus_coquereli,pteropus_vampyrus,rhinopithecus_bieti,rhinopithecus_roxellana,saimiri_boliviensis_boliviensis,sorex_araneus,sus_scrofa
gc_content,0.432147562582,0.442666666667,0.441922563418,0.430247718383,0.423684210526,0.443257676903,0.444591029024,0.425755584757,0.434610303831,0.437994722955,0.446002805049,0.418449197861,0.428571428571,0.418699186992,0.448138297872,0.434262948207,0.438172043011,0.430830039526,0.437823834197,0.429503916449,0.439894319683,0.434173669468,0.441215323646,0.437994722955,0.441059602649,0.453651685393,0.441059602649,0.430446194226,0.429835651075,0.440745672437,0.438391699092,0.432576769025,0.432576769025,0.428194993412,0.420178799489,0.447682119205,0.442988204456,0.436997319035,0.419972640219,0.419654714475
longest_ORF,0.0777338603426,0.118666666667,0.113484646195,0.0925684485007,0.0881578947368,0.116154873164,0.126649076517,0.0762155059133,0.10964332893,0.0883905013193,0.0953716690042,0.0935828877005,0.0934579439252,0.0880758807588,0.0837765957447,0.0876494023904,0.0887096774194,0.0830039525692,0.0984455958549,0.097911227154,0.118890356671,0.116246498599,0.118890356671,0.126649076517,0.115231788079,0.133426966292,0.0834437086093,0.115485564304,0.0796460176991,0.0932090545939,0.0817120622568,0.0907877169559,0.0934579439252,0.133069828722,0.0779054916986,0.0847682119205,0.0878112712975,0.0924932975871,0.207934336525,0.066401062417
A_percent,0.268774703557,0.284,0.279038718291,0.284224250326,0.273684210526,0.276368491322,0.274406332454,0.26938239159,0.285336856011,0.275725593668,0.291725105189,0.284759358289,0.271028037383,0.283197831978,0.277925531915,0.2802124834,0.284946236559,0.281949934124,0.266839378238,0.274151436031,0.278731836196,0.278711484594,0.280052840159,0.281002638522,0.276821192053,0.265449438202,0.284768211921,0.274278215223,0.273072060683,0.282290279627,0.285343709468,0.271028037383,0.271028037383,0.285902503294,0.282247765006,0.276821192053,0.277850589777,0.282841823056,0.287277701778,0.281540504648
longest_ORF_alan,35.0,48.0,60.0,63.0,47.0,66.0,28.0,32.0,44.0,35.0,56.0,50.0,43.0,57.0,40.0,38.0,40.0,52.0,65.0,67.0,23.0,34.0,23.0,49.0,63.0,50.0,34.0,50.0,39.0,55.0,34.0,41.0,43.0,38.0,49.0,35.0,35.0,58.0,147.0,49.0
